simulation,final_balance,max_drawdown,max_dd_duration,profit_loss
98,22000.822801117756,6.582840706306646,26.0,12000.822801117756
99,19363.710004358385,8.881730010043738,83.0,9363.710004358385
100,30237.392776867066,5.334535067129009,21.0,20237.392776867066
101,18661.14606350402,11.657593708505392,53.0,8661.14606350402
102,20588.708879746893,7.932695015068568,34.0,10588.708879746893
103,24759.719878181604,6.689533384763056,22.0,14759.719878181604
104,15074.424669152348,13.565597039034433,108.0,5074.424669152348
105,12898.672142285035,19.54385008721331,112.0,2898.672142285035
106,16855.396800025046,20.724677609521155,99.0,6855.396800025046
107,17071.88355487278,8.119691330244775,64.0,7071.88355487278
108,8195.990801001717,31.183475006011165,294.0,-1804.009198998283
109,14418.71498482212,12.83434264388506,76.0,4418.71498482212
110,17514.57280112544,5.178196409254389,50.0,7514.57280112544
111,18334.640352258215,7.800002787302826,34.0,8334.640352258215
112,16184.32922214498,12.30623606522263,61.0,6184.329222144979
113,17804.56898925569,22.75173875318154,88.0,7804.568989255691
114,18391.638894138305,6.677328999695392,39.0,8391.638894138305
115,21485.404051844853,10.447772929258035,71.0,11485.404051844853
116,16542.151955714304,9.37616018956539,53.0,6542.151955714304
117,23210.730285186346,5.997943898638432,75.0,13210.730285186346
118,18819.484717031137,10.493916517843564,56.0,8819.484717031137
119,19777.63702914073,11.918138902223834,99.0,9777.63702914073
120,12137.437451817532,30.366253189696902,208.0,2137.437451817532
121,9241.119038591252,25.803123457360115,295.0,-758.8809614087477
122,15313.214824161005,12.562634454969357,62.0,5313.214824161005
123,20868.167668794915,8.616320918128025,38.0,10868.167668794915
124,20481.887782777565,5.422441989537175,36.0,10481.887782777565
125,15340.28231371175,11.875233863884493,76.0,5340.28231371175
126,16458.409870590862,9.855470340966937,52.0,6458.409870590862
127,17282.16820209867,7.775909608238521,46.0,7282.16820209867
128,16629.919831023886,11.436771389053549,91.0,6629.919831023886
129,20164.68650061018,5.4281260789439765,45.0,10164.68650061018
130,20388.725717360143,8.901840386434992,71.0,10388.725717360143
131,20291.268784079737,9.089330742404314,46.0,10291.268784079737
132,18656.510554322267,6.103059840938639,37.0,8656.510554322267
133,11958.24677834892,15.354283944102992,163.0,1958.2467783489192
134,19503.435806179907,8.37914812590547,53.0,9503.435806179907
135,25685.48327596788,4.502552749721922,32.0,15685.48327596788
136,14455.87204474314,8.346404474337337,89.0,4455.872044743141
137,18493.37642903575,9.1401789099599,37.0,8493.37642903575
138,21723.667846959175,6.983865474735087,94.0,11723.667846959175
139,15430.050935087125,15.466597305172442,72.0,5430.050935087125
140,17435.57445108539,6.747048987680171,54.0,7435.574451085391
141,17025.8745592754,7.530018594276314,91.0,7025.8745592753985
142,17924.987263050898,7.603298543419412,41.0,7924.987263050898
143,17213.15093401662,6.8979720125101815,31.0,7213.150934016619
144,21935.179889787276,11.741808603299486,32.0,11935.179889787276
145,19164.61467281967,10.251807938614139,36.0,9164.614672819669
146,17925.32832944354,12.768166674336618,46.0,7925.328329443539
147,19268.670596391203,8.388669188014442,36.0,9268.670596391203
148,16372.723568214962,18.14577094759438,70.0,6372.723568214962
149,18121.65400891551,7.2325379656791045,27.0,8121.65400891551
150,19471.048280350413,5.931455595113714,46.0,9471.048280350413
151,14147.357977615995,11.594900261464502,110.0,4147.357977615995
152,20900.26121944888,6.685901893851637,29.0,10900.26121944888
153,17126.97799322602,8.336050692861328,62.0,7126.977993226021
154,19199.865142906296,5.4603928220881,58.0,9199.865142906296
155,15268.559539285692,13.110957666519903,130.0,5268.559539285692
156,16979.53874311768,9.859538792108955,63.0,6979.538743117679
157,19275.959650485296,8.012661129004368,40.0,9275.959650485296
158,22838.21342246017,6.636688350420153,19.0,12838.213422460169
159,15792.992786387473,12.402844287004948,51.0,5792.992786387473
160,19084.823554654242,17.061049949439468,44.0,9084.823554654242
161,16816.36170709025,10.550229109623583,39.0,6816.361707090251
162,19547.763588543065,8.407611881642094,36.0,9547.763588543065
163,17435.44338520436,9.776060144209543,85.0,7435.4433852043585
164,21087.66399982474,21.349282801660312,66.0,11087.663999824741
165,19563.32879741106,10.873128667487768,43.0,9563.32879741106
166,15692.748993452384,11.157731120912793,62.0,5692.748993452384
167,14130.294059333308,6.739920422154522,33.0,4130.294059333308
168,19603.44777676805,8.269447104757747,34.0,9603.447776768051
169,18238.541391102815,6.953066383311206,38.0,8238.541391102815
170,18891.388721399646,9.86001110551995,47.0,8891.388721399646
171,16447.027058810712,20.3247514158621,114.0,6447.027058810712
172,14174.73027056294,12.12912568428973,82.0,4174.730270562941
173,20157.56447383233,10.418408615384285,41.0,10157.564473832332
174,19542.870786164545,8.572100368587373,43.0,9542.870786164545
